,keypoint_coords,keypoint_scores
0,"[[81.94267601190612, 416.8615109384345], [38.455538816230245, 426.12871817994915], [33.60995953582054, 392.84090781325926], [55.663310117499776, 418.2782770914324], [61.848796312199084, 344.88731858832983], [173.89347307072129, 478.1049941943593], [174.15518033227255, 311.0167697742225], [331.17717210636584, 519.1066380550986], [329.0714457312296, 263.9190148166492], [405.4166053062262, 520.691466993122], [415.88305891391843, 322.23812705592104], [425.6948904603027, 460.36338112571025], [426.30908716002176, 341.9047874925239], [614.1024776724882, 444.08700459311456], [590.8043933247411, 340.00262246747906], [743.1765205638353, 446.77050722843154], [716.4956193302953, 324.8392760354366]]","[0.9523769617080688, 0.8400066494941711, 0.9529755115509033, 0.3430870771408081, 0.6370002627372742, 0.2118930220603943, 0.9955759048461914, 0.896054744720459, 0.7174160480499268, 0.9741337895393372, 0.48639431595802307, 0.9918690323829651, 0.9770517349243164, 0.9801372289657593, 0.9653383493423462, 0.9042130708694458, 0.9230501651763916]"
1,"[[74.69318425378134, 413.80083586040297], [37.382104119589165, 424.4946931537829], [32.5034504380337, 390.4389714510247], [41.28802020050759, 452.35627242822966], [59.50586141541947, 338.021789258747], [173.25710420830305, 475.7611142391223], [172.1053233035775, 311.8321585769288], [330.0360013385152, 510.11836439798896], [322.38323619753817, 251.9537353515625], [388.1898182713708, 516.1960729571621], [394.7061713019083, 302.92724609375], [420.7090532169786, 428.67172898287976], [421.0965384508288, 342.7611574601899], [601.6900977201241, 440.77149605636964], [583.1576969679012, 337.4459269400419], [757.3674680133199, 455.8168548145933], [716.003759650297, 327.61159212395336]]","[0.9642161130905151, 0.8565571308135986, 0.9641647934913635, 0.3232942819595337, 0.6551234126091003, 0.23539549112319946, 0.9961165189743042, 0.9111535549163818, 0.7620502710342407, 0.9747635126113892, 0.7374935150146484, 0.8492253422737122, 0.9846235513687134, 0.9836450815200806, 0.9727731943130493, 0.8478608131408691, 0.9278910160064697]"
2,"[[78.44337791620299, 403.7170512368234], [36.56654393395712, 419.78951924155206], [33.64253004207168, 384.6318214818051], [41.12471101450366, 448.82396059173146], [59.2315410347872, 331.06205260354363], [171.63093460437864, 479.30069480786483], [172.34062647265057, 312.4439936733702], [333.75409059746323, 510.4824610075882], [325.40057142390765, 255.72749817770634], [395.66650678945143, 516.5148224899073], [387.85990883583247, 280.3858356384569], [422.13657362585843, 449.1108900736393], [420.8598353003347, 344.0829307154605], [605.1837647903798, 440.77681692023026], [584.676121245983, 336.971724660773], [755.4297779881678, 456.2218478992225], [716.5585069878157, 327.7494819312575]]","[0.9657862186431885, 0.8683214783668518, 0.9607442617416382, 0.4128817319869995, 0.6304073333740234, 0.22918379306793213, 0.9962172508239746, 0.8997921347618103, 0.7757411599159241, 0.9794723987579346, 0.8193212747573853, 0.9879429340362549, 0.9836628437042236, 0.9805550575256348, 0.9732639789581299, 0.8500881195068359, 0.9271996021270752]"
3,"[[81.32825807083485, 397.2836044530549], [36.760121456412385, 410.71040687378513], [35.968395499295966, 379.8227819415371], [44.253407012584596, 440.9768662156101], [60.738627677740055, 328.05117958470396], [173.92710805493732, 474.13862456545303], [173.7597425150317, 311.5537535744991], [331.10018956383993, 503.19075734991776], [323.32281121542286, 253.3774869635915], [400.0684160631757, 508.0090273624402], [384.0853707513144, 274.5431182715311], [419.594248749489, 429.44616874439293], [421.4912330231001, 341.88881906025716], [601.2191795970118, 435.58914987664474], [577.3493036669354, 336.8295069060257], [751.9299822962562, 447.38873495439594], [716.4075841681902, 332.81075655558465]]","[0.9633383750915527, 0.874426007270813, 0.9602479934692383, 0.44642430543899536, 0.6507354378700256, 0.24302718043327332, 0.995894730091095, 0.910056471824646, 0.7689043283462524, 0.9678117036819458, 0.8597880005836487, 0.8409944772720337, 0.9842226505279541, 0.9729830026626587, 0.9702386856079102, 0.8342851400375366, 0.925041675567627]"
4,"[[78.80350529870321, 398.26694470273253], [40.47513065781704, 413.22789534427335], [39.01619747073151, 382.3999330073452], [46.26814886581066, 438.5030908904007], [61.14836981130201, 327.1163370962919], [173.55583829657976, 469.7468515788539], [171.95845683785373, 312.1291077536259], [329.2125614964685, 499.8746136386999], [318.0832365169082, 253.8096158698415], [397.39093589782715, 507.85729805248207], [378.23391018357387, 269.8812121523624], [416.6230513994084, 425.70721932005085], [418.5145031629607, 340.8412717974357], [595.1191161843234, 434.9032023306669], [579.1371416491131, 338.9468632018167], [734.7089731249698, 425.76032282633076], [740.8413216346918, 366.5827554949163]]","[0.9723122119903564, 0.8743901252746582, 0.9660080671310425, 0.4100968837738037, 0.6796689629554749, 0.26383668184280396, 0.9959233999252319, 0.9218684434890747, 0.783433735370636, 0.9644401669502258, 0.8771333694458008, 0.8637932538986206, 0.9867404103279114, 0.9680646657943726, 0.9760422110557556, 0.8956159353256226, 0.6604271531105042]"
5,"[[78.84818187979765, 400.94797380803305], [37.2211474928745, 412.84777481590163], [36.055581913437955, 382.5608343827097], [43.019535330838934, 438.3989105954695], [60.00840839119845, 328.0193420118122], [167.44456322248593, 470.6813523872047], [167.55250380760015, 312.6920446368496], [329.2334479398506, 499.99698766680996], [315.7852301486703, 251.67151638195276], [407.97421832417336, 519.2286616421202], [400.5663775954136, 237.23244698994466], [413.1010276439578, 422.83932626532595], [413.120925980945, 342.19080874794406], [592.7388080330783, 431.32754677220396], [578.3737786758778, 336.94313742897725], [731.4720023177391, 420.07014078386663], [744.9100146626317, 369.5780747701106]]","[0.9666550159454346, 0.8412030935287476, 0.9599063992500305, 0.42178046703338623, 0.6660937070846558, 0.2933475077152252, 0.9961750507354736, 0.9260220527648926, 0.8292721509933472, 0.9711331725120544, 0.9011224508285522, 0.8608108758926392, 0.9855369329452515, 0.9665557146072388, 0.9778338670730591, 0.8925222158432007, 0.6833839416503906]"
6,"[[74.5654972874841, 390.7155323484868], [35.41035709824673, 401.01704428640846], [35.94342120858126, 368.3023888984936], [43.59231265755587, 438.3488705283717], [56.68035897543264, 325.23144297622605], [166.69118996553644, 471.1681953685706], [166.31433642187784, 308.6077676435407], [329.2555563283521, 499.16799590918436], [310.53325963574787, 244.5843418249103], [403.19342260582505, 518.0976947985197], [392.3569345696028, 236.69458124626195], [412.0963746004326, 421.08742453835225], [408.83367090447007, 341.3157777923146], [589.0101243839707, 430.7273346385317], [573.7748748424441, 333.15401944247157], [726.3879831225373, 421.1455335115132], [739.639903933503, 369.21740664249404]]","[0.9722418189048767, 0.8662378787994385, 0.9542858600616455, 0.4963392913341522, 0.6298301815986633, 0.3109959363937378, 0.9957782626152039, 0.9196125268936157, 0.8378273248672485, 0.9656345844268799, 0.943036675453186, 0.8482969403266907, 0.9860054850578308, 0.9567053318023682, 0.9719918966293335, 0.8890793919563293, 0.6550899744033813]"
7,"[[73.20656204223633, 398.60871383447966], [33.9075031724087, 398.0805428974937], [34.92059645541879, 364.96367094049043], [45.97209171916163, 434.22938588703647], [58.64364686123161, 326.85324928977275], [168.31689346668333, 472.66599664277436], [165.59165666269703, 304.74272951555025], [331.16083331440774, 498.3133051384009], [311.0787132618039, 242.28092759419857], [398.6871047352636, 519.398222562799], [392.5274589006291, 242.14264354066987], [414.35451028513353, 419.71112557005085], [411.6128827250281, 342.70625502298896], [592.8837691462318, 432.56087745776017], [575.8231320048487, 332.8778455816388], [727.7675087729166, 419.0274617318331], [741.5244141512139, 378.1020694714414]]","[0.8313111066818237, 0.8415851593017578, 0.9494838714599609, 0.48079586029052734, 0.6754255294799805, 0.30593711137771606, 0.9949190616607666, 0.909652054309845, 0.8294359445571899, 0.9549390077590942, 0.9412187337875366, 0.8166182637214661, 0.9855181574821472, 0.9458242654800415, 0.9680217504501343, 0.8563987016677856, 0.652985692024231]"
8,"[[74.75399806887604, 400.48359702078346], [34.79725558258767, 398.9906201522316], [36.31168649362964, 363.7508585806669], [46.09012909822686, 434.6532385429127], [60.47287351031636, 325.710998243122], [175.25041163244913, 473.1086446223647], [167.49804536686386, 303.1154300379411], [334.7958177078602, 499.41518245131203], [329.1207014571789, 257.99592086572966], [400.3181731423666, 520.6482517662231], [366.57644351693085, 242.5064393550015], [412.4906101559484, 435.17235276801733], [415.0928611755371, 340.59758382550837], [597.2055811771127, 435.56026769026613], [578.3939281729765, 331.94537149091656], [730.3809958613197, 422.1465860029157], [739.7192421846612, 375.97917328610947]]","[0.8272907733917236, 0.8501545786857605, 0.9551742076873779, 0.46347200870513916, 0.6914122104644775, 0.27184510231018066, 0.9955152273178101, 0.8974243402481079, 0.7282911539077759, 0.9538521766662598, 0.8468959927558899, 0.9812285900115967, 0.9862450361251831, 0.9535139799118042, 0.9667888879776001, 0.864460825920105, 0.6428636908531189]"
9,"[[76.10120516045149, 400.4846717067883], [34.433632429255994, 401.20584077241887], [35.60651078335074, 365.2164119738711], [47.05216523103936, 434.61577639055025], [60.08128419033317, 324.24502140026914], [177.5321484942769, 471.4716466876308], [168.93629051918208, 301.8963389419483], [334.2647376836733, 499.9804731305136], [330.3932754161746, 261.87775096254484], [403.9122570170913, 524.4228585713217], [365.66981062778206, 244.72542064611991], [406.02047137326974, 437.85545823676733], [409.36674761217694, 341.4620080975254], [590.164686158646, 441.73046933406846], [577.7324779421784, 329.8127622467479], [723.3038865466451, 422.8758831115431], [739.7566752766454, 382.1178498336573]]","[0.820172131061554, 0.8495734930038452, 0.9551109075546265, 0.45103853940963745, 0.6892203092575073, 0.25872495770454407, 0.9952642917633057, 0.8970504999160767, 0.6983519792556763, 0.9504530429840088, 0.8559722900390625, 0.9805400371551514, 0.9847064018249512, 0.9396724700927734, 0.9618328809738159, 0.8494170904159546, 0.6274439096450806]"
