,keypoint_coords,keypoint_scores
0,"[[41.17484540717547, 424.118377831564], [18.370094631993492, 470.69630892082836], [23.438489936118902, 423.08109557229363], [40.394709032635355, 449.63593843450957], [46.97572437552519, 387.25255281731273], [158.00422464415084, 483.81922671669406], [161.6971884439158, 324.4779187070126], [281.3279146593671, 544.2835348758971], [317.87241949037065, 276.84946014550314], [413.5751045581907, 574.9109938042016], [416.142162062401, 322.35566499700957], [419.8373264656511, 472.07976564836275], [425.1421970849814, 362.2724118757476], [628.924899905227, 473.2145055743496], [603.9000642022421, 357.0419092497757], [766.7316554757052, 450.4200328480114], [719.0243324013644, 330.565170945163]]","[0.9492308497428894, 0.9189706444740295, 0.9513477087020874, 0.29466962814331055, 0.7022155523300171, 0.994431734085083, 0.9422092437744141, 0.9661986231803894, 0.8525817394256592, 0.847947359085083, 0.5544846653938293, 0.9942852854728699, 0.9872145652770996, 0.9843035936355591, 0.9318997859954834, 0.7594677209854126, 0.8645561933517456]"
1,"[[65.42472422400186, 418.31286562686904], [31.16507410448651, 451.6313499925239], [26.232152517451798, 423.89636172061904], [43.96016537865927, 449.383559523587], [50.125754023707195, 387.28930605655654], [162.5978942693666, 486.52057665957216], [131.74348396478698, 350.6617525091582], [324.6616599504338, 537.2231223366477], [287.00376470698865, 281.48301120009717], [373.8506135275198, 528.5839902156848], [428.3390675034634, 287.9393133136074], [415.4279930092568, 472.66929662969125], [414.2525928186816, 352.9179009980562], [618.2966153344443, 468.883598364141], [599.9081584575564, 363.4192595413427], [752.6235912566962, 475.3272521096554], [718.5684287714404, 331.607268849058]]","[0.960146427154541, 0.8650374412536621, 0.9544793367385864, 0.3128897547721863, 0.7064872980117798, 0.9952691793441772, 0.2857372760772705, 0.9052688479423523, 0.9747918248176575, 0.979096531867981, 0.8962280750274658, 0.9933012127876282, 0.9291980266571045, 0.9875234961509705, 0.9478781223297119, 0.8733360171318054, 0.8693433403968811]"
2,"[[62.49335976534112, 408.9349744878888], [32.93753699369209, 442.3312626158792], [18.238732382308605, 407.5824149829919], [40.62030592630076, 442.92637583171353], [43.8823356628418, 373.0041445499402], [163.91738714173783, 479.13571736458954], [125.51656501237737, 341.0215007289175], [323.8084525174873, 531.3725521689967], [282.0512148391369, 274.8796234860945], [377.5541181786116, 525.4773124439295], [407.97332391073536, 321.85656679874404], [421.05968257438303, 468.06404953367974], [419.9668681981952, 350.1217257120963], [629.5753951460816, 469.48821437415893], [607.0795685524164, 354.7322046015251], [769.5213498847429, 485.84683723997273], [745.1932098920955, 379.9291466525867]]","[0.9485349059104919, 0.8589192628860474, 0.9484506845474243, 0.2800692915916443, 0.6658868789672852, 0.9958257079124451, 0.2747642993927002, 0.9162931442260742, 0.9738847613334656, 0.9804925918579102, 0.24139255285263062, 0.9937125444412231, 0.9466241598129272, 0.986701250076294, 0.954494059085846, 0.8551012277603149, 0.6479789614677429]"
3,"[[59.07950964639353, 403.96868692060406], [35.54668586198674, 436.633148923445], [20.846476643584495, 400.13384805341656], [41.42617873258369, 439.7859389017643], [44.974556191023005, 366.6654011849581], [162.83755612927814, 480.65502258008746], [127.22125403825628, 337.8036104777213], [328.24248824008674, 533.4152469908792], [276.17724276697913, 269.77759840385767], [391.18727484414745, 520.6675318667764], [408.5542706334314, 325.9794127541866], [420.97134507534116, 463.40554269306966], [417.22156476420025, 353.7342476730712], [626.1722547619842, 464.3250037380383], [607.4606359171313, 367.79476768092104], [771.8867081043333, 496.13610445597527], [744.1079525614894, 384.2076351768092]]","[0.9301652908325195, 0.8851189613342285, 0.948829174041748, 0.2829846739768982, 0.6063631772994995, 0.9956762790679932, 0.26156848669052124, 0.9104971885681152, 0.9727786779403687, 0.9763574004173279, 0.25388017296791077, 0.9926425218582153, 0.9500865936279297, 0.987326443195343, 0.9474732279777527, 0.8757190704345703, 0.6780202984809875]"
4,"[[57.207370048345524, 397.7698863636364], [33.79974524919377, 431.87069249495363], [22.714455959408784, 394.3089916831569], [42.40169090448424, 432.98899965423146], [44.45853317615598, 353.77379494991027], [162.89553868493368, 467.9436627985758], [146.0331117496934, 298.454835152512], [322.9413123907045, 523.4593091170753], [283.11050898529766, 314.53766307191984], [385.74198820424635, 519.2640036258971], [407.0499869058299, 275.4796195144288], [408.47625983038614, 453.73486386531846], [414.3716340508572, 351.69301594273327], [617.278878345046, 458.4693667763158], [602.4996836019117, 354.7755074386962], [741.1369263585224, 471.37872723301064], [737.2083717168764, 377.0431299529007]]","[0.9177314043045044, 0.8564090132713318, 0.9457831382751465, 0.2826985716819763, 0.630530595779419, 0.9936431050300598, 0.48570528626441956, 0.9340431690216064, 0.642582893371582, 0.9735919237136841, 0.9077434539794922, 0.9905019998550415, 0.9584928154945374, 0.9840261936187744, 0.957525372505188, 0.8587340116500854, 0.7207532525062561]"
5,"[[54.2730357591496, 407.87649492327677], [23.78871105992517, 425.5706582685407], [29.69309003963027, 386.77692176052255], [46.87458952083144, 427.40678267045456], [49.190518800602405, 346.0054359253514], [161.2487345850745, 474.15273127943703], [155.75022719627202, 317.56690504448267], [321.94184946459393, 517.0599569658343], [268.61796902501305, 264.74577835302034], [386.8817921571953, 515.8661034688995], [401.18054358903754, 310.7317443555622], [408.60185720754225, 431.88862631765846], [412.12580914830056, 351.6220282595694], [598.1615674218466, 453.2513281717255], [590.0144813892454, 346.8558717572518], [734.4033222919287, 464.814438523288], [710.3628610123036, 325.2273924613113]]","[0.9778549075126648, 0.9301630258560181, 0.9360229969024658, 0.2989702522754669, 0.5686995983123779, 0.3161434233188629, 0.992824912071228, 0.920502781867981, 0.9637994766235352, 0.9573832154273987, 0.3793216943740845, 0.9036955833435059, 0.9589141607284546, 0.9775446653366089, 0.9588222503662109, 0.8853310346603394, 0.9259051084518433]"
6,"[[57.393102557160134, 408.2180902946509], [38.94292485436728, 418.73200777044707], [27.574218306430552, 385.6279254530035], [32.87278964907624, 456.6119180341657], [47.1371030142141, 343.54296524558913], [158.6052641757699, 471.95457202966134], [153.66257805048033, 318.50889945144286], [322.9924577225086, 509.4603674491627], [268.0380993776543, 268.516296678753], [399.3386754767839, 503.3103366103469], [403.16406285485556, 307.52350291566984], [411.418188760447, 430.01061252429724], [409.2927711176318, 347.64931126644734], [600.4071025848389, 448.3922230113636], [591.8811915198038, 343.16332657371413], [735.5206808766653, 458.39311079545456], [708.5601644294206, 327.8771943452826]]","[0.9773598909378052, 0.8491548299789429, 0.9316490292549133, 0.37514615058898926, 0.5807201862335205, 0.3233547806739807, 0.9915453195571899, 0.9117105603218079, 0.9507195949554443, 0.9064209461212158, 0.33119747042655945, 0.8841217756271362, 0.9650018811225891, 0.969817578792572, 0.9488798379898071, 0.8696278929710388, 0.9225567579269409]"
7,"[[55.1634306353192, 410.51835931659315], [36.37095713060956, 422.99591502504484], [24.799580906712734, 387.0018516431015], [46.261100635972134, 425.455076956863], [44.24943884028945, 345.2512516587545], [159.3340599592342, 472.7202843478992], [152.58318479671036, 318.1554474899073], [326.5584085153979, 511.68717817826706], [271.879340548848, 265.4491252990431], [405.8408076485922, 503.75362706526613], [403.8374868880871, 301.60208816163276], [411.94724690636923, 430.24180435107655], [412.76583282337634, 351.4548620196621], [617.5730695059133, 448.4319688714862], [604.3950023651123, 345.6964899820574], [732.9787826870763, 456.5319269353693], [715.6581759341927, 336.55173853824016]]","[0.9790909886360168, 0.8586163520812988, 0.9394609928131104, 0.2480890154838562, 0.5878435969352722, 0.28641021251678467, 0.9927830696105957, 0.8964080810546875, 0.9618560075759888, 0.844536304473877, 0.46391773223876953, 0.8768946528434753, 0.9651939868927002, 0.9690479040145874, 0.9541884660720825, 0.8429422378540039, 0.9103504419326782]"
8,"[[56.6119520941446, 399.91464569237814], [37.04482837056005, 414.1766386625299], [25.405306660851767, 378.03158700751345], [33.73409719245378, 452.9431210750598], [43.787102677101316, 336.6889975515849], [161.5246926241143, 474.71989243794854], [154.92251054630722, 318.9672267494019], [323.7771732419036, 508.9809830222974], [272.01224912599076, 258.96376614365283], [411.78476835960566, 495.5268297697368], [395.1568076555119, 306.9774105674342], [416.76061470564025, 432.33826559696473], [410.83360690848775, 349.46049594422846], [613.7578214379245, 444.8146400269139], [603.8075868917066, 343.7964042408044], [738.8247392856798, 455.59656754635165], [718.0278959939646, 331.1467834180622]]","[0.9829986095428467, 0.8790006637573242, 0.9456873536109924, 0.4160723090171814, 0.5838918685913086, 0.2868119478225708, 0.9934868812561035, 0.8930946588516235, 0.9695915579795837, 0.7716823816299438, 0.559546709060669, 0.8910760283470154, 0.9720127582550049, 0.9722976088523865, 0.962973415851593, 0.8592702746391296, 0.9128056764602661]"
9,"[[54.69851830948231, 403.0580234071284], [20.367178118506143, 418.3438679818331], [24.1459300240805, 379.91450697611396], [32.54319514784702, 448.0239094273325], [42.8232430746389, 332.0254326779306], [161.419403785883, 474.2303189364347], [156.8377079631007, 311.4826958031175], [331.7287228606468, 503.08579148287976], [282.2096677380939, 274.6283163408343], [407.6625687798788, 496.44149269213517], [402.9425506591797, 264.283447265625], [415.7282726376556, 433.90269302295155], [414.41720819473267, 340.8745812228992], [608.4083693082943, 446.6725501831639], [595.5961755264638, 332.8434731515401], [735.1219283758209, 456.4029908978768], [716.5096701244976, 327.59945226057863]]","[0.9790266752243042, 0.9266548156738281, 0.9443227052688599, 0.42014968395233154, 0.6180450916290283, 0.2992416024208069, 0.9930320978164673, 0.893352210521698, 0.9518360495567322, 0.7655712366104126, 0.8700710535049438, 0.9004864692687988, 0.9817489385604858, 0.9724542498588562, 0.9646501541137695, 0.8642200827598572, 0.9239499568939209]"
